PBD6GP,,PBD6GPP,,PBD10GP,,PBD10GPP,,PBD41GP,,PBD41GPP,,PBD58GP,,PBD58GPP,,PBD86GP,,PBD86GPP,,PBD176GP,,PBD176GPP,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.532258065,5.458961474,4.134228188,4.495652174,4.530645161,5.458961474,2.880872483,4.300869565,2.643548387,5.204355109,2.276845638,5.163478261,2.237096774,5.613065327,0.993288591,4.683478261,1.540322581,5.485762144,0.812080537,5.08,0.669354839,5.586264657,0.842281879,5.379130435
5.735483871,5.566164154,4.255033557,4.620869565,4.675806452,5.532663317,2.956375839,4.412173913,2.716129032,5.324958124,2.397651007,5.260869565,2.382258065,5.666666667,1.11409396,4.843478261,1.670967742,5.559463987,0.902684564,5.163478261,0.843548387,5.659966499,1.038590604,5.351304348
5.880645161,5.646566164,4.436241611,4.787826087,4.85,5.586264657,3.062080537,4.523478261,2.846774194,5.412060302,2.639261745,5.365217391,2.570967742,5.706867672,1.189597315,4.996521739,1.830645161,5.633165829,1.008389262,5.246956522,0.988709677,5.720268007,1.219798658,5.28173913
5.996774194,5.726968174,4.55704698,4.885217391,4.980645161,5.626465662,3.213087248,4.648695652,3.020967742,5.505862647,2.820469799,5.406956522,2.74516129,5.773869347,1.370805369,5.086956522,2.00483871,5.700167504,1.174496644,5.316521739,1.162903226,5.760469012,1.401006711,5.233043478
6.170967742,5.800670017,4.738255034,5.031304348,5.111290323,5.659966499,3.36409396,4.794782609,3.108064516,5.552763819,3.062080537,5.393043478,2.890322581,5.800670017,1.521812081,5.212173913,2.164516129,5.733668342,1.295302013,5.406956522,1.424193548,5.820770519,1.612416107,5.170434783
6.287096774,5.860971524,4.82885906,5.128695652,5.270967742,5.673366834,3.530201342,4.933913043,3.238709677,5.606365159,3.243288591,5.372173913,3.122580645,5.840871022,1.687919463,5.330434783,2.425806452,5.780569514,1.521812081,5.469565217,1.7,5.854271357,1.808724832,5.128695652
6.417741935,5.927973199,4.919463087,5.24,5.358064516,5.706867672,3.666107383,5.045217391,3.441935484,5.659966499,3.560402685,5.337391304,3.325806452,5.874371859,1.884228188,5.413913043,2.585483871,5.807370184,1.77852349,5.462608696,1.932258065,5.881072027,2.080536913,5.086956522
6.620967742,5.981574539,5.130872483,5.365217391,5.546774194,5.747068677,3.786912752,5.156521739,3.601612903,5.686767169,3.771812081,5.288695652,3.514516129,5.894472362,2.110738255,5.434782609,2.788709677,5.834170854,2.035234899,5.393043478,2.251612903,5.907872697,2.246644295,5.052173913
6.708064516,6.021775544,5.236577181,5.448695652,5.837096774,5.793969849,3.953020134,5.24,3.833870968,5.753768844,4.104026846,5.267826087,3.717741935,5.914572864,2.397651007,5.4,3.079032258,5.881072027,2.276845638,5.344347826,2.541935484,5.921273032,2.473154362,4.982608696
6.882258065,6.068676717,5.432885906,5.532173913,5.996774194,5.847571189,4.104026846,5.295652174,4.124193548,5.787269682,4.345637584,5.219130435,3.935483871,5.934673367,2.684563758,5.351304348,3.253225806,5.907872697,2.503355705,5.302608696,2.803225806,5.948073702,2.684563758,4.954782609
